date,quantitative_only,equal_weight,benchmark
2021-01-04,100000.0,100000.0,100000.0
2021-01-05,100853.40071147331,100778.56337437281,100708.25951575492
2021-01-06,98063.30448283335,98308.49663189628,101283.28784098972
2021-01-07,100317.55202467304,100680.13803152423,102787.08171376676
2021-01-08,101041.5395473222,101290.55567130956,103351.57425235827
2021-01-11,99047.15608903386,98909.31027389626,102674.1304281567
2021-01-12,98701.84171188468,98039.35300781087,102716.82114535678
2021-01-13,99943.46885464543,98927.62636875694,102950.56783074024
2021-01-14,98538.0839341287,97439.87524110748,102564.14789895831
2021-01-15,97799.65963256042,97377.13249093683,101826.70880629472
2021-01-19,98792.30457424026,99323.38724798434,102655.20955395953
2021-01-20,102636.97959726048,103176.29433947089,104085.77410191491
2021-01-21,104541.3136000382,104701.39041979738,104118.74049255758
2021-01-22,105112.60056722416,105256.69283629306,103805.27939890203
2021-01-25,106594.87975558634,106470.21471556155,104180.62257065013
2021-01-26,107383.54201299394,107426.02066395865,104025.51494399407
2021-01-27,105835.50966572725,104947.03838446215,101354.35986948556
2021-01-28,105241.53416781827,104633.11761255085,102343.64186717097
2021-01-29,102634.13642420898,102209.39979700827,100367.23516812596
2021-02-01,105748.84976431332,105117.36480619072,101978.30670314851
2021-02-02,106521.24095650684,106165.92688297621,103395.62400027127
2021-02-03,106331.19165348777,107410.00055584933,103499.92630886861
2021-02-04,107362.8500476883,107903.5450433945,104623.24435992358
2021-02-05,107647.15227712096,108510.3344253422,105031.0129489238
2021-02-08,107357.94540010874,108202.68419103185,105808.17400237579
2021-02-09,107022.53438503096,108188.22118964673,105690.35395625055
2021-02-10,106618.64610025383,108206.41973718439,105653.87123856913
2021-02-11,106428.01807432674,108065.67040519702,105829.5160623576
2021-02-12,106739.59625500767,108325.2368581899,106328.08241690022
2021-02-16,106012.22080272507,108267.36552713338,106267.5527722841
2021-02-17,105943.01598737252,108306.42760861524,106233.50443486028
2021-02-18,105734.26918234148,107745.74810815493,105764.39474115809
2021-02-19,104507.85288718052,106212.38123796874,105568.21272023719
2021-02-22,101928.24348934824,104116.70675858158,104751.87067938736
2021-02-23,101993.14297431201,104576.32070416774,104883.4723524993
2021-02-24,101660.10551490639,104529.65437013113,106074.06902107963
2021-02-25,98467.78655920681,101189.24521252485,103477.50230210565
2021-02-26,99307.96048174673,102057.11635895973,102985.96200440403
2021-03-01,102420.65543419645,104960.46255235096,105436.07667097115
2021-03-02,100938.27684212317,103380.32715056991,104584.06337252575
2021-03-03,98297.32471095602,100900.14205754454,103217.54479622522
2021-03-04,97733.88944745086,100725.38897687697,101832.65291635458
2021-03-05,99259.0754791377,102684.70794843709,103817.9790791076
2021-03-08,96016.54314612292,99528.33824009505,103261.5945441382
2021-03-09,99171.3609699983,102775.55631688949,104723.2254786328
2021-03-10,98723.56881472789,102326.2570908472,105354.73934252733
2021-03-11,100849.83625229367,104803.43876186849,106449.9531662183
2021-03-12,99613.7239285662,103422.33201979767,106558.04228854967
2021-03-15,100463.80231721433,104255.11711779807,107249.80871312854
2021-03-16,101473.9851808311,105578.35018688184,107081.46043287634
2021-03-17,101744.06672073646,106030.54182073985,107389.78887655793
2021-03-18,98449.795364464,103010.9343308239,105804.65767533706
2021-03-19,98979.72153685837,104164.52851301385,105740.88878761398
2021-03-22,100479.21296479438,105778.52490799033,106483.73101694685
2021-03-23,100661.74800787694,105827.69437126684,105671.16919259458
2021-03-24,99197.70383382641,104134.89042146748,105093.42940317046
2021-03-25,98828.84835889316,103405.62953608503,105644.14691201174
2021-03-26,99040.94843768896,104172.73317760299,107401.13612328704
2021-03-29,99676.96740690383,105081.06225892206,107307.91057472353
2021-03-30,98978.5745857377,104181.09407460748,106969.05012065684
2021-03-31,100347.40447743236,105839.43093098632,107356.54540198347
2021-04-01,102151.14970127118,108015.81387627848,108626.05821322295
2021-04-05,105446.50895548107,111223.11935398378,110194.42583657247
2021-04-06,105160.68634425619,110858.31589453714,110087.14817432697
2021-04-07,106786.65211779399,112510.81325976826,110249.5523445193
2021-04-08,107753.08237709118,113486.01046756243,110714.87522448746
2021-04-09,108992.22172182068,114843.07635939102,111569.58679264925
2021-04-12,107992.05881417189,114259.21761763302,111547.71035651334
2021-04-13,109011.30780604978,115157.35797828142,111915.20281686165
2021-04-14,107435.21346984665,113395.54999259149,111457.72405105681
2021-04-15,109378.35363246262,115293.99290490718,112694.25727718066
2021-04-16,109172.31033813453,115342.09786346601,113100.95051663618
2021-04-19,109124.06045969347,114881.5105400444,112500.77352597615
2021-04-20,108390.60129531642,114202.47903802915,111735.50728988033
2021-04-21,108483.1786483479,114573.72692093647,112775.32411892916
2021-04-22,107092.6385445419,113014.01938028994,111736.58923666147
2021-04-23,109020.9974875086,114819.41055863774,112957.72451286337
2021-04-26,109593.7346042658,115630.52197790597,113159.04578099471
2021-04-27,109236.70813242697,115512.3416721897,113134.72836736473
2021-04-28,110443.9029265571,115939.84245847406,113039.06843854363
2021-04-29,112633.92206601423,117782.66541807256,113803.52981179007
2021-04-30,111051.29335198707,116655.122882105,112984.74679344619
2021-05-03,110798.14187536344,115986.22084109276,113295.23913069007
2021-05-04,108253.55406542185,113613.06804485887,112538.61527437047
2021-05-05,108151.61239300913,113096.2400983063,112617.78211201554
2021-05-06,109439.66347288749,114512.64031601558,113537.3577091545
2021-05-07,109918.61217566936,114865.62335501857,114374.50743383201
2021-05-10,106915.83317365355,111562.0044323127,113180.93541160357
2021-05-11,106365.98085740904,111357.05933902427,112199.21384691325
2021-05-12,103608.18303819963,108668.06477611793,109792.60795486857
2021-05-13,105031.79902565423,109976.00879384797,111129.12889693811
2021-05-14,107374.79756405883,112559.47240823063,112786.94844959005
2021-05-17,107208.49565840322,112464.50008412421,112501.59158329849
2021-05-18,105944.36978152473,111104.43997913586,111543.38256938873
2021-05-19,106200.23737464157,111478.43886740383,111215.0644992018
2021-05-20,107933.51150106062,113074.29708261313,112388.91078438371
2021-05-21,106882.72792772307,112020.6317866945,112300.81128855771
2021-05-24,109153.11400832706,114385.8399304219,113413.85744242823
2021-05-25,109321.95066334997,114776.97840395343,113172.82081074496
2021-05-26,109600.13944084439,114951.42104322634,113385.2254361466
2021-05-27,108823.85789721765,114424.87574504822,113517.35488817618
2021-05-28,108378.01072025878,113946.41809939916,113604.63632667986
2021-06-01,108408.34576806171,113904.46865428155,113548.70495588363
2021-06-02,108476.3076963531,114045.43490456765,113713.00253294296
2021-06-03,107399.88395825328,112852.09847693006,113300.37178066405
2021-06-04,109440.52299417138,114624.79381521113,114301.27810901037
2021-06-07,109987.46393064229,115360.48786066369,114210.20985677268
2021-06-08,110051.09944989375,115629.93386680291,114230.19948327806
2021-06-09,110368.87150791114,115768.90162180859,114021.85875554218
2021-06-10,110936.96546143765,116815.92105629406,114552.3161511828
2021-06-11,111273.66920907187,116951.23159611766,114775.51385545006
2021-06-14,112848.64821397391,118530.91816396193,114983.85458318594
2021-06-15,112113.78451451148,118032.6359645375,114752.54227806006
2021-06-16,111881.56059905727,117745.38254600411,114134.01177553933
2021-06-17,113185.24738381672,119453.89948606736,114084.2818070253
2021-06-18,111983.39271126121,118269.4215972306,112586.9862121716
2021-06-21,113427.82293945333,119176.44097160503,114163.46183914327
2021-06-22,114545.22073289835,120677.91322054768,114748.49157486722
2021-06-23,114399.31850119068,120662.13559230717,114624.18644529155
2021-06-24,114580.23365254034,120603.33419001417,115290.29621723696
2021-06-25,114264.03932486054,119935.52814193036,115674.28176876131
2021-06-28,115434.52759725388,121873.17156449253,115942.0635970957
2021-06-29,116013.95624721395,122120.3708406035,115974.21852765251
2021-06-30,116014.92978650183,121808.37248020446,116128.2508047639
2021-07-01,116629.49012359571,122411.25115771862,116734.62919770612
2021-07-02,118651.48890254574,124569.19694566473,117610.14844969561
2021-07-06,119557.70487709732,126154.78607475759,117372.35765835579
2021-07-07,120353.27789812563,126856.27955486623,117766.6085098281
2021-07-08,119100.46872113785,126016.20774668948,116758.4056379455
2021-07-09,120135.11217105799,126739.00429900586,118075.2008429685
2021-07-12,120595.2998044407,127051.83785565667,118482.69894527341
2021-07-13,121088.15679643606,127290.12165546579,118066.01748980166
2021-07-14,122191.82253496039,127948.83915404147,118203.55667573698
2021-07-15,121289.11844498724,126871.16550299012,117817.94820404092
2021-07-16,120393.28542878822,125828.38914156353,116929.73586908233
2021-07-19,118004.69951835214,123848.78826390946,115074.11797257423
2021-07-20,120050.5262534064,125537.27685758889,116818.94187979809
2021-07-21,120655.35309432882,126263.42403351527,117781.74257029123
2021-07-22,121890.45212976313,127834.40520122282,118019.26947217227
2021-07-23,125295.61580748767,130816.37405240734,119216.62830813475
2021-07-26,125943.80459055827,131533.47275350534,119500.62614371342
2021-07-27,124132.33643121373,129641.11191590336,118937.48603859833
2021-07-28,125345.35337232884,130541.8556102937,118915.33251853066
2021-07-29,124445.99955032182,129357.88217055913,119415.50859877204
2021-07-30,123789.00506083343,126974.32832837479,118769.94262119551
2021-08-02,123484.65531022524,126644.11250894639,118551.07270405286
2021-08-03,124318.42897977625,127530.26823150237,119523.59772110342
2021-08-04,124337.4033519901,127768.8738117307,118969.9180530869
2021-08-05,125363.88166298733,128719.49199279351,119684.38556836049
2021-08-06,125098.89507442997,128296.94100747744,119884.88877916952
2021-08-09,125212.65813059961,128250.02979835393,119772.20798025474
2021-08-10,124790.60449227215,127780.26447421627,119891.10337592466
2021-08-11,124660.04560700723,127470.12770166299,120044.05370625488
2021-08-12,125911.06397933875,128704.43050206249,120541.80200347515
2021-08-13,126587.9576684664,129077.58659429403,120735.54964413846
2021-08-16,127456.64556231085,129974.65036416662,121051.97949420572
2021-08-17,126177.4144580033,128353.20912543629,120197.26792604393
2021-08-18,124852.84886871344,126772.3500529041,118905.33110804149
2021-08-19,125866.5922365035,127288.19955031914,119054.75851409651
2021-08-20,127974.0940323463,128951.53134614338,120024.05088527656
2021-08-23,129279.43163638379,130521.47077847389,121047.11073369054
2021-08-24,129474.76557017397,131012.94586465185,121228.16529138476
2021-08-25,129600.83389785737,131047.76415406636,121497.30615043204
2021-08-26,128681.00001136151,130366.25798554468,120789.59420530415
2021-08-27,130125.10373095018,131935.12962187047,121853.46455852415
2021-08-30,131898.60444873886,134300.62579323095,122378.23513632729
2021-08-31,131484.5499793071,134227.5693086592,122213.13269641854
2021-09-01,131846.97364738892,134689.68207492266,122251.22513979874
2021-09-02,130528.18581022038,133871.12301269962,122598.7411681146
2021-09-03,130781.33893124004,134253.93273354584,122557.66677384976
2021-09-07,131405.30820205668,135352.0221941743,122141.51309729564
2021-09-08,130792.1601069801,134765.14007550798,121980.46136057973
2021-09-09,130282.83736681685,134000.8911033781,121418.66709170461
2021-09-10,129163.43596505551,132400.52439626722,120481.00187216378
2021-09-13,129626.10866797742,132640.18525197444,120755.27538118503
2021-09-14,130091.803212807,132621.63287915022,120061.33846580738
2021-09-15,131257.73889554667,133594.3407461911,121078.73788532974
2021-09-16,130985.9653776644,133470.87205023153,120890.92775748982
2021-09-17,128459.43296478939,131202.02949749702,119789.50593428017
2021-09-20,126001.90594806506,128304.85001295344,117755.80223648956
2021-09-21,126337.40748400959,128526.46461793549,117660.14230766846
2021-09-22,126095.08141340189,128794.43676652353,118780.22111561644
2021-09-23,126832.77233707729,129700.5108618073,120221.58533967388
2021-09-24,127757.65219868998,130452.04118747049,120397.23016346237
2021-09-27,126619.00725892474,129396.62954456765,120062.9613859791
2021-09-28,122037.04429031003,125255.47155912423,117617.98596662248
2021-09-29,121551.8166298463,124998.5326353227,117802.55025411895
2021-09-30,120964.45404473967,124312.77147106967,116399.55555737347
2021-10-01,123228.12439621522,125930.22809805282,117737.15844622414
2021-10-04,120069.4390066901,122312.27368189614,116208.23569973126
2021-10-05,122265.28864176884,124325.5268984443,117431.27098003663
2021-10-06,123573.54685911388,125512.50925024525,117913.06715947144
2021-10-07,124305.33548343097,126183.47695001037,118891.54288381831
2021-10-08,124471.74272641519,126175.47913467673,118664.01739242645
2021-10-11,123820.49499642076,125285.64032097918,117849.29827174835
2021-10-12,122602.37212933869,124364.44430516723,117564.48237884736
2021-10-13,123475.32130784751,125108.28201881715,117919.82272961714
2021-10-14,126116.5331113363,127250.95770890918,119931.90068625774
2021-10-15,126410.17250482172,128159.80840995265,120826.61789637615
2021-10-18,128095.15279981356,130054.64010007714,121234.3798881399
2021-10-19,128874.43157261676,130932.2423537781,122130.70682395711
2021-10-20,128363.3313653012,130512.4558539704,122578.19737374572
2021-10-21,129000.6049568321,131099.8785967176,122945.4259446352
2021-10-22,126325.50035491872,127998.74045322905,122813.56038206443
2021-10-25,126329.81434772827,128060.89541961711,123396.70330815784
2021-10-26,126660.34647228534,128179.22604136309,123621.260043138
2021-10-27,130579.11968237437,130394.64697474972,122996.77883332096
2021-10-28,131348.47081690625,131837.38837563488,124205.74880547138
2021-10-29,133114.1344618311,132326.46444274057,124447.86738393581
2021-11-01,131129.74867544635,131271.85336541673,124671.8831455254
2021-11-02,132491.59817475226,131907.67048739133,125130.72094204313
2021-11-03,133405.2347940729,133293.71297739362,125939.22546596613
2021-11-04,134258.86860417452,134768.93136262544,126465.89604787271
2021-11-05,134590.80256602948,135699.9155314622,126937.96790075011
2021-11-08,134539.10610768557,135216.752197759,127050.66189413785
2021-11-09,134485.39491854107,135597.96767229217,126606.14010076092
2021-11-10,132004.23039234904,132763.78041400973,125564.70035154035
2021-11-11,132174.9146786364,132795.54787340423,125633.87897316918
2021-11-12,134333.2858343414,135521.974433183,126541.28926625667
2021-11-15,134244.2943464937,136138.08236101596,126539.93023554377
