date,quantitative_only,equal_weight,benchmark
2021-01-31,102634.13642420898,102209.39979700827,100367.23516812596
2021-02-28,99307.96048174673,102057.11635895973,102985.96200440403
2021-03-31,100347.40447743236,105839.43093098632,107356.54540198347
2021-04-30,111051.29335198707,116655.122882105,112984.74679344619
2021-05-31,108378.01072025878,113946.41809939916,113604.63632667986
2021-06-30,116014.92978650183,121808.37248020446,116128.2508047639
2021-07-31,123789.00506083343,126974.32832837479,118769.94262119551
2021-08-31,131484.5499793071,134227.5693086592,122213.13269641854
2021-09-30,120964.45404473967,124312.77147106967,116399.55555737347
2021-10-31,133114.1344618311,132326.46444274057,124447.86738393581
2021-11-30,134815.9372332361,135092.0071830039,123410.75542183983
2021-12-31,139174.09584421956,137779.47616328343,128793.05801834058
2022-01-31,131242.95324085475,128723.17259885797,122020.45380806344
2022-02-28,126814.12368529142,118607.658694981,118193.83234917959
2022-03-31,131986.47784222753,124142.16990595637,122422.01439754499
2022-04-30,115492.84930680731,106451.59444388465,111654.17655867297
2022-05-31,112305.12329486145,103409.18219369091,111660.11407149637
2022-06-30,105057.72143902908,93838.37612039807,102289.5973060053
2022-07-31,117798.41894638167,105214.32633872512,111609.8563240647
2022-08-31,111536.4767321471,100908.86034267496,106873.11970514049
2022-09-30,98693.43883984293,88346.26800671236,96891.63287012377
2022-10-31,99322.2051211528,82822.03829922866,104629.729443374
2022-11-30,99443.14624848406,88568.42786414134,110253.8801316439
2022-12-31,89525.57050657627,81125.36328685549,103752.04629782222
2023-01-31,97660.2367765688,92957.71057780918,110159.03166290866
2023-02-28,96662.34018656916,93533.01058328665,107282.50461707593
2023-03-31,112118.48382711325,107251.03261478139,111042.92940521559
2023-04-30,120547.17283101952,113346.1906441108,112668.85791676953
2023-05-31,129932.62048404626,124830.14272079576,112948.54115969653
2023-06-30,138765.49942775202,131582.95514550235,120259.4138935953
2023-07-31,144583.82537118378,137987.11800992014,124004.1636478812
2023-08-31,138155.24261702356,135838.73703687466,121807.25751428532
2023-09-30,133970.1799033293,129620.48847986905,115872.88497546686
2023-10-31,135879.24308087028,131349.27258965018,113326.035030534
2023-11-30,149217.8506980069,144171.89484036312,123432.36796851693
2023-12-31,153999.885787949,149417.18981283146,128891.68670357336
2024-01-31,158926.54701401223,153644.530848764,130940.5112673542
2024-02-29,176124.73100280936,166190.7603295607,137712.83839369958
2024-03-31,177759.65750366866,168398.8864241957,141984.52261935093
2024-04-30,166435.04768058247,163448.25878361947,136075.82652487533
2024-05-31,174841.13870419998,174927.06068856874,142610.34966540796
2024-06-30,188198.59286468857,189116.07078255585,147554.62214921866
2024-07-31,177847.36963799805,183115.92586862313,149225.13478483973
2024-08-31,177622.91387018134,184432.7357388404,152632.64700523068
2024-09-30,186454.97363467806,192109.35285783518,155715.35088523699
2024-10-31,181403.04448077758,189701.98391156562,154174.27602916557
2024-11-30,185935.65297862657,197678.8342346104,163008.66177565148
2024-12-31,194067.48182528454,207469.00848739126,158935.05297778803
2025-01-31,206399.73569285322,218467.93036666745,163228.89072350707
2025-02-28,192910.66575709527,204533.71618073893,160904.16973053323
2025-03-31,172846.24922219175,185408.16210053,151644.98792771698
2025-04-30,166534.82642835708,183855.87920061438,150488.70348601934
2025-05-31,179506.37877966274,201707.0996467889,159747.34431544502
2025-06-30,196403.5883717389,215416.50053782732,167671.90518029523
2025-07-31,208439.54906013588,227820.2430604313,171304.77899851574
2025-08-31,201379.43659917012,232992.96559047585,174570.95202476444
2025-09-30,210660.3575235814,243011.84268598107,180737.44173155818
2025-10-31,216368.1886209577,253358.677376327,184837.80892054568
2025-11-30,221794.5627825809,257246.58646862942,185078.0274949066
2025-12-31,217246.14843796912,254414.89995016728,184981.02172984555
