date,strategy,turnover,AAPL,MSFT,GOOGL,AMZN,META
2021-01-04,quantitative_only,0.6785119999999999,0.35,0.239256,0.040744,0.35,0.02
2021-02-01,quantitative_only,0.07136378839944038,0.35000000000000003,0.21295700000000004,0.06704300000000002,0.35000000000000003,0.020000000000000004
2021-03-01,quantitative_only,0.4031664486786868,0.35,0.02,0.26,0.35,0.02
2021-04-01,quantitative_only,0.5614243895791098,0.35,0.02,0.35,0.065651,0.214349
2021-05-03,quantitative_only,0.23793809631998591,0.35,0.095434,0.35,0.099357,0.105209
2021-06-01,quantitative_only,0.2718914182735686,0.35,0.223355,0.35,0.02,0.056645
2021-07-01,quantitative_only,0.3035733920036668,0.35,0.083725,0.35,0.02,0.196275
2021-08-02,quantitative_only,0.5387803638308227,0.154016,0.35,0.35,0.02,0.125984
2021-09-01,quantitative_only,0.26931375335176255,0.02,0.35,0.35,0.02,0.26
2021-10-01,quantitative_only,0.22558578244238658,0.133045,0.35,0.35,0.02,0.146955
2021-11-01,quantitative_only,0.26679643182310053,0.26,0.35,0.35,0.02,0.02
2021-12-01,quantitative_only,0.04821703500267699,0.26,0.35,0.35,0.02,0.02
2022-01-03,quantitative_only,0.02123212179780704,0.26,0.35,0.35,0.02,0.02
2022-02-01,quantitative_only,0.022742816543660983,0.26,0.35,0.35,0.02,0.02
2022-03-01,quantitative_only,0.20306676776803212,0.35,0.263957,0.346043,0.02,0.02
2022-04-01,quantitative_only,0.11435050305734296,0.35,0.318789,0.291211,0.02,0.02
2022-05-02,quantitative_only,0.04939922979989854,0.35,0.35,0.26,0.02,0.02
2022-06-01,quantitative_only,0.01989577519675667,0.35,0.35,0.26,0.02,0.02
2022-07-01,quantitative_only,0.019279479012010846,0.35,0.35,0.26,0.02,0.02
2022-08-01,quantitative_only,0.047356672672137154,0.35,0.35,0.26,0.02,0.02
2022-09-01,quantitative_only,0.49035093984045,0.35,0.35,0.02,0.26,0.02
2022-10-03,quantitative_only,0.007581928543940866,0.35,0.35,0.02,0.26,0.02
2022-11-01,quantitative_only,0.24502120633663094,0.35,0.26,0.02,0.35,0.02
2022-12-01,quantitative_only,0.6292674243888011,0.35,0.35,0.26,0.02,0.02
2023-01-03,quantitative_only,0.035398821994404146,0.35,0.35,0.26,0.02,0.02
2023-02-01,quantitative_only,0.5119465883111074,0.35,0.35,0.02,0.26,0.02
2023-03-01,quantitative_only,0.6557835391455828,0.35,0.26,0.02,0.02,0.35
2023-04-03,quantitative_only,0.03042322341150325,0.35,0.26,0.02,0.02,0.35
2023-05-01,quantitative_only,0.18809977811898848,0.26,0.35,0.02,0.02,0.35
2023-06-01,quantitative_only,0.02006429859678407,0.26,0.35,0.02,0.02,0.35
2023-07-03,quantitative_only,0.17069996478792604,0.35,0.26,0.02,0.02,0.35
2023-08-01,quantitative_only,0.04821853210337908,0.35,0.26,0.02,0.02,0.35
2023-09-01,quantitative_only,0.31748425986852813,0.193601,0.35,0.086399,0.02,0.35
2023-10-02,quantitative_only,0.3040129640422214,0.045880000000000004,0.35000000000000003,0.23412000000000002,0.020000000000000004,0.35000000000000003
2023-11-01,quantitative_only,0.10204859877489994,0.092266,0.35,0.187734,0.02,0.35
2023-12-01,quantitative_only,0.340818895114201,0.217268,0.35,0.02,0.062732,0.35
2024-01-02,quantitative_only,0.39753110831908206,0.35,0.154777,0.02,0.125223,0.35
2024-02-01,quantitative_only,0.3841986468637008,0.22094,0.35,0.02,0.05906,0.35
2024-03-01,quantitative_only,0.4450290767146518,0.02,0.35,0.036026,0.243974,0.35
2024-04-01,quantitative_only,0.10367006393585479,0.02,0.305311,0.082838,0.241851,0.35
2024-05-01,quantitative_only,0.5881821505330572,0.02,0.02,0.290061,0.35,0.319939
2024-06-03,quantitative_only,0.2006247815882426,0.02,0.07021,0.322986,0.236804,0.35
2024-07-01,quantitative_only,0.2931968635273204,0.020000000000000004,0.18392000000000003,0.35000000000000003,0.09608000000000001,0.35000000000000003
2024-08-01,quantitative_only,0.555177296451314,0.019999980000020002,0.20800979199020803,0.1806948193051807,0.34999965000035,0.24129575870424133
2024-09-03,quantitative_only,0.9328864954660576,0.280589,0.329411,0.02,0.02,0.35
2024-10-01,quantitative_only,0.180559670971243,0.35,0.248934,0.02,0.031066,0.35
2024-11-01,quantitative_only,0.45631265740038224,0.35000000000000003,0.020000000000000004,0.23242400000000002,0.04757600000000001,0.35000000000000003
2024-12-02,quantitative_only,0.41213115337873085,0.33821500000000004,0.020000000000000004,0.038701000000000006,0.25308400000000003,0.35000000000000003
2025-01-02,quantitative_only,0.19553892744414225,0.35,0.02,0.125171,0.157965,0.346864
2025-02-03,quantitative_only,0.28044852180896696,0.218626,0.02,0.239607,0.186798,0.334969
2025-03-03,quantitative_only,0.23031114204924524,0.35,0.02,0.21623,0.06377,0.35
2025-04-01,quantitative_only,0.34341937884818946,0.35,0.02,0.0574,0.2226,0.35
