date,quantitative_only_gross,quantitative_only_net,equal_weight_gross,equal_weight_net,benchmark
2021-01-04,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-05,100853.92692712312,100853.92692712312,100778.91311378765,100778.91311378765,100708.25951575492
2021-01-06,98062.63845406407,98062.63845406407,98306.76479577387,98306.76479577387,101283.28784098972
2021-01-07,100317.88157204314,100317.88157204314,100678.62542142168,100678.62542142168,102787.08171376676
2021-01-08,101042.0203461484,101042.0203461484,101289.53244738826,101289.53244738826,103351.57425235827
2021-01-11,99047.51273553555,99047.51273553555,98910.26374820403,98910.26374820403,102674.1304281567
2021-01-12,98702.9131178232,98702.9131178232,98042.67764325984,98042.67764325984,102716.82114535678
2021-01-13,99945.31905388339,99945.31905388339,98932.71369663438,98932.71369663438,102950.56783074024
2021-01-14,98539.77644601747,98539.77644601747,97445.15096363911,97445.15096363911,102564.14789895831
2021-01-15,97800.10805551246,97800.10805551246,97379.00908978419,97379.00908978419,101826.70880629472
2021-01-19,98791.23230362537,98791.23230362537,99320.49226585655,99320.49226585655,102655.20955395953
2021-01-20,102634.97804567765,102634.97804567765,103172.64301046512,103172.64301046512,104085.77410191491
2021-01-21,104541.94766723154,104541.94766723154,104700.3547320978,104700.3547320978,104118.74049255758
2021-01-22,105114.51847211439,105114.51847211439,105256.41479826566,105256.41479826566,103805.27939890203
2021-01-25,106598.84205512678,106598.84205512678,106472.38673458919,106472.38673458919,104180.62257065013
2021-01-26,107386.69685551642,107386.69685551642,107427.2108883517,107427.2108883517,104025.51494399407
2021-01-27,105840.53500446724,105840.53500446724,104954.14991710342,104954.14991710342,101354.35986948556
2021-01-28,105242.20143664404,105242.20143664404,104637.65341839496,104637.65341839496,102343.64186717097
2021-01-29,102633.03115922335,102633.03115922335,102211.85397812627,102211.85397812627,100367.23516812596
2021-02-01,105759.05096136563,105747.80568402016,105125.03013069394,105120.09578171687,101978.30670314851
2021-02-02,106531.51658975305,106520.18917674021,106173.66289069457,106168.67932108964,103395.62400027127
2021-02-03,106341.47862910753,106330.17142268273,107417.83905949024,107412.79709085896,103499.92630886861
2021-02-04,107373.22771853815,107361.81080703794,107911.40280132079,107906.33766584007,104623.24435992358
2021-02-05,107657.5680551542,107646.12090996791,108518.24672475808,108513.1531052932,105031.0129489238
2021-02-08,107368.34287230167,107356.92648020333,108210.58075036391,108205.50157209618,105808.17400237579
2021-02-09,107032.8881565407,107021.50743308046,108196.10317219628,108191.02467347578,105690.35395625055
2021-02-10,106628.96537528734,106617.62760062118,108214.30545750362,108209.22610440593,105653.87123856913
2021-02-11,106438.29505808956,106426.97755724941,108073.52748007409,108068.45473480014,105829.5160623576
2021-02-12,106749.92161328287,106738.57097743434,108333.13120759543,108328.04627706563,106328.08241690022
2021-02-16,106022.48817032555,106011.21488190726,108275.26371001966,108270.18149566912,106267.5527722841
2021-02-17,105953.24958091036,105941.98365457724,108314.30757606971,108309.22352908179,106233.50443486028
2021-02-18,105744.50570956053,105733.26197880034,107753.60700049355,107748.54927161758,105764.39474115809
2021-02-19,104517.96653341013,104506.85321960323,106220.11905655189,106215.13330639173,105568.21272023719
2021-02-22,101938.10408681308,101927.26508776659,104124.28364584144,104119.39626981065,104751.87067938736
2021-02-23,102003.00896027773,101992.16305994669,104583.93245788218,104579.0235068978,104883.4723524993
2021-02-24,101669.95419548734,101659.1437086095,104537.26597842306,104532.3592178656,106074.06902107963
2021-02-25,98477.32172110809,98466.85070434945,101196.61876796388,101191.86881039734,103477.50230210565
2021-02-26,99317.56418458144,99307.00382549745,102064.5423642902,102059.75166820586,102985.96200440403
2021-03-01,102492.54983804302,102419.67743791446,104975.26803059316,104963.18408811356,105436.07667097115
2021-03-02,101009.14520368261,100937.32750710312,103394.91858308342,103383.01655823241,104584.06337252575
2021-03-03,98366.32611401087,98296.38746688887,100914.36982910082,100902.75334587331,103217.54479622522
2021-03-04,97802.48691724023,97732.94916087195,100739.58905330222,100727.99268948835,101832.65291635458
2021-03-05,99328.75473868246,99258.13180295663,102699.19299927965,102687.37106098706,103817.9790791076
2021-03-08,96083.93983061038,96015.62396452716,99542.37744366215,99530.9188936067,103261.5945441382
2021-03-09,99240.98030965953,99170.41978172162,102790.05353551815,102778.22113806204,104723.2254786328
2021-03-10,98792.86865166352,98722.6267319766,102340.68134741236,102328.90067821354,105354.73934252733
2021-03-11,100920.61905164213,100848.86429732708,104818.21648665746,104806.15062273921,106449.9531662183
2021-03-12,99683.6519813227,99612.77671297455,103436.92066632297,103425.01380651639,106558.04228854967
2021-03-15,100534.32436224369,100462.84426419601,104269.82641922162,104257.82368173455,107249.80871312854
2021-03-16,101545.21129234481,101473.01245174491,105593.23148826869,105581.07641060634,107081.46043287634
2021-03-17,101815.47231098215,101743.08131427801,106045.4860715792,106033.27893386048,107389.78887655793
2021-03-18,98518.90645843653,98448.85932639608,103025.4622563154,103013.60276042465,105804.65767533706
2021-03-19,99049.19123143685,98978.76706590255,104179.20952917704,104167.21722280681,105740.88878761398
2021-03-22,100549.75122966834,100478.26016308824,105793.45197842584,105781.2738529263,106483.73101694685
2021-03-23,100732.41546734126,100660.79452613673,105842.62389081815,105830.44010502765,105671.16919259458
2021-03-24,99267.33093901485,99196.75167572875,104149.56889886748,104137.58000449781,105093.42940317046
2021-03-25,98898.22561782647,98827.90878913389,103420.2172069471,103408.31226991383,105644.14691201174
2021-03-26,99110.47821743773,99040.01047673846,104187.43237865099,104175.43912572983,107401.13612328704
2021-03-29,99746.9398572391,99676.01959108938,105095.88480156133,105083.78697461021,107307.91057472353
2021-03-30,99048.05236156662,98977.62900577097,104195.7938025574,104183.79958713365,106969.05012065684
2021-03-31,100417.84590510512,100346.44862346456,105854.36538417966,105842.1802467991,107356.54540198347
2021-04-01,102309.01446987563,102150.17536108682,108037.682128044,108018.61238771322,108626.05821322295
2021-04-05,105609.46557863937,105445.50237872884,111245.63843597649,111226.00245900883,110194.42583657247
2021-04-06,105323.19334877472,105159.67459871153,110880.75598645995,110861.18441492405,110087.14817432697
2021-04-07,106951.67771739238,106785.63067588657,112533.59741274868,112513.73409803405,110249.5523445193
2021-04-08,107919.5990223408,107752.04924172396,113508.9940721653,113488.95859010452,110714.87522448746
2021-04-09,109160.64489142247,108991.1683341591,114866.32595673257,114846.05089190706,111569.58679264925
2021-04-12,108158.94068299294,107991.01931423921,114282.35364960248,114262.18166177785,111547.71035651334
2021-04-13,109179.75431712833,109010.24809166646,115180.66492418287,115160.33437535985,111915.20281686165
2021-04-14,107601.21642064751,107434.16094259989,113418.49706424672,113398.4775558204,111457.72405105681
2021-04-15,109547.37650811241,109377.29953351872,115317.33621293693,115296.98154025327,112694.25727718066
2021-04-16,109341.00890035674,109171.25232027636,115365.44355278405,115345.08038866981,113100.95051663618
2021-04-19,109292.68451026911,109123.00295586554,114904.77054327581,114884.48869259309,112500.77352597615
2021-04-20,108558.0880800288,108389.54701791618,114225.59487804578,114205.43290871668,111735.50728988033
2021-04-21,108650.82279912368,108482.13776240422,114596.91872361735,114576.69121188513,112775.32411892916
2021-04-22,107258.13944301524,107091.61660660879,113036.9046760855,113016.9525225636,111736.58923666147
2021-04-23,109189.4651354099,109019.94383348846,114842.65527214024,114822.38438542924,112957.72451286337
2021-04-26,109763.09655927836,109592.68467010405,115653.93607020064,115633.52198424794,113159.04578099471
2021-04-27,109405.49684976804,109235.64014939558,115535.72619248425,115515.33297176698,113134.72836736473
2021-04-28,110614.57412039941,110442.84027599308,115963.31619711815,115942.84750245333,113039.06843854363
2021-04-29,112807.97171304595,112632.83252532122,117806.50782586998,117785.71378929622,113803.52981179007
2021-04-30,111222.90617453765,111050.22786866986,116678.74222705816,116658.1472524848,112984.74679344619
2021-05-03,111008.95758172237,110797.05339868409,116013.39463082397,115989.21112294015,113295.23913069007
2021-05-04,108459.54960683729,108252.51196994013,113639.69580808473,113616.00710827351,112538.61527437047
2021-05-05,108357.400233519,108150.5575888096,113122.74179008172,113099.16085163385,112617.78211201554
2021-05-06,109647.9143899081,109438.60829221286,114539.47659774177,114515.60033462472,113537.3577091545
2021-05-07,110127.77413055861,109917.55203213217,114892.54769302951,114868.59783067295,114374.50743383201
2021-05-10,107119.28211876693,106914.80290862467,111588.16606550135,111564.90501618569,113180.93541160357
2021-05-11,106568.37811306893,106364.95051953313,111383.162062475,111359.94374715518,112199.21384691325
2021-05-12,103805.34622462888,103607.19296235232,108693.54431886735,108670.8866663237,109792.60795486857
2021-05-13,105231.66156047904,105030.78561534351,110001.78598352174,109978.85562218691,111129.12889693811
