date,quantitative_only_gross,quantitative_only_net,equal_weight_gross,equal_weight_net,benchmark
2021-01-31,102633.03115922335,102633.03115922335,102211.85397812627,102211.85397812627,100367.23516812596
2021-02-28,99317.56418458144,99307.00382549745,102064.5423642902,102059.75166820586,102985.96200440403
2021-03-31,100417.84590510512,100346.44862346456,105854.36538417966,105842.1802467991,107356.54540198347
2021-04-30,111222.90617453765,111050.22786866986,116678.74222705816,116658.1472524848,112984.74679344619
2021-05-31,108584.2416371278,108376.9659765307,113973.11738436754,113949.35918134646,113604.63632667986
2021-06-30,116283.11924602215,116013.81318239098,121842.50586381728,121811.52602885925,116128.2508047639
2021-07-31,124131.68756012969,123787.81126505417,127013.19168824832,126977.61841044194,118769.94262119551
2021-08-31,131955.1738671213,131483.27728912115,134275.83080818204,134231.04616527155,122213.13269641854
2021-09-30,121446.4684555471,120963.26761952201,124359.48786385857,124315.97597206835,116399.55555737347
2021-10-31,133689.80075097329,133112.829799515,132379.11176630302,132329.8895593033,124447.86738393581
2021-11-30,135453.2032473542,134814.64782398957,135157.5701950939,135095.52516055762,123410.75542183983
2021-12-31,139842.05133875154,139172.73945625316,137854.66655218523,137783.04063428822,128793.05801834058
2022-01-31,131877.05472390723,131241.68499674284,128798.87373215645,128726.51346368907,122020.45380806344
2022-02-28,127431.16554622099,126812.88938168662,118681.21641399345,118610.7333159915,118193.83234917959
2022-03-31,132669.10535450003,131985.20061334225,124239.20882148702,124145.39111354885,122422.01439754499
2022-04-30,116110.14757779606,115491.78979927425,106536.7740940267,106454.36518708272,111654.17655867297
2022-05-31,112913.72683092506,112304.07143559423,103501.46978529176,103411.85540959846,111660.11407149637
2022-06-30,105630.2121751316,105056.74733227151,93924.20817282103,93840.80778940204,102289.5973060053
2022-07-31,118443.7484758717,117797.31240632845,105317.42538399022,105217.04415936605,111609.8563240647
2022-08-31,112155.45870566927,111535.41904735645,101019.450858634,100911.46770886281,106873.11970514049
2022-09-30,99314.20791025499,98692.51537578298,88447.21648996114,88348.55569896218,96891.63287012377
2022-10-31,99948.09515526584,99321.30499924785,82919.1213323763,82824.19788415695,104629.729443374
2022-11-30,100106.5692561194,99442.22364274957,88688.23224649654,88570.72583054054,110253.8801316439
2022-12-31,90207.96252140764,89524.72551284016,81245.60798190911,81127.45822119147,103752.04629782222
2023-01-31,98409.88390997879,97659.33956594774,93103.23577611065,92960.12385543155,110159.03166290866
2023-02-28,97479.1729471928,96661.44157744836,93687.95955965329,93535.43881698714,107282.50461707593
2023-03-31,113177.24641170395,112117.43161293912,107440.72398575563,107253.80998660123,111042.92940521559
2023-04-30,121691.093633653,120546.05210542436,113551.34998415534,113349.13259586523,112668.85791676953
2023-05-31,131202.6349707434,129931.42496510898,125062.19332628873,124833.38736858999,112948.54115969653
2023-06-30,140126.05801064387,138764.21337056588,131833.70133393217,131586.37167030186,120259.4138935953
2023-07-31,146038.8084297072,144582.46967153758,138257.6981164784,137990.69042118127,124004.1636478812
2023-08-31,139555.64299074598,138153.96302751638,136114.58252756344,135842.270434459,121807.25751428532
2023-09-30,135392.61738948032,133968.92083724862,129890.77392775695,129623.85136783456,115872.88497546686
2023-10-31,137384.59289117882,135877.9580446433,131629.46225274977,131352.67851294484,113326.035030534
